fix 0 all npt temp ${T0}. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. 0.2000000000000000111
run 500000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Per MPI rank memory allocation (min/avg/max) = 4.236 | 4.236 | 4.236 Mbytes
   Step         PotEng         Volume        Density         Press           Temp          TotEng        Enthalpy   
     11300  -6401.2191      58807.651      1.4257972      698.57656      1091.3558     -6157.5933     -6131.9522    
     11400  -6391.5847      59579.239      1.4073322     -410.89902      1021.0981     -6163.6426     -6178.9225    
     11500  -6401.5589      59864.079      1.400636      -339.9677       1127.6375     -6149.8339     -6162.5365    
     11600  -6395.4757      59496.965      1.4092783     -116.27693      1108.1613     -6148.0983     -6152.4163    
     11700  -6394.598       59758.554      1.4031093      314.35549      1129.7638     -6142.3982     -6130.6733    
     11800  -6404.289       59246.081      1.4152461     -402.10756      1082.7374     -6162.5871     -6177.4564    
     11900  -6408.965       57905.339      1.4480147      1162.5175      1078.0302     -6168.3139     -6126.2986    
     12000  -6409.8516      58789.65       1.4262338     -116.42485      1095.7466     -6165.2456     -6169.5176    
     12100  -6398.0961      59034.668      1.4203143     -489.55352      1109.42       -6150.4378     -6168.4761    
     12200  -6407.0984      58971.502      1.4218357      399.02342      1095.5459     -6162.5372     -6147.8503    
     12300  -6404.8888      59175.786      1.4169272     -439.41596      1100.4591     -6159.2308     -6175.4605    
     12400  -6407.0873      58638.926      1.4298997      714.37162      1101.0688     -6161.2932     -6135.1475    
     12500  -6399.7019      59538.349      1.4082988     -772.04192      1073.1088     -6160.1494     -6188.8392    
     12600  -6391.8281      59693.951      1.4046278      160.7487       1099.5859     -6146.365      -6140.3759    
     12700  -6391.1693      59659.794      1.405432      -169.80255      1085.8919     -6148.7632     -6155.0861    
     12800  -6404.6705      58899.007      1.4235857      725.72466      1090.0426     -6161.3378     -6134.6588    
     12900  -6403.1894      58749.993      1.4271965      266.21473      1089.4767     -6159.983      -6150.2213    
