fix 0 all npt temp ${T0}. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. 0.2000000000000000111
run 500000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 7 7 7
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair born/coul/dsf, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 4.223 | 4.223 | 4.223 Mbytes
   Step         PotEng         Volume        Density         Press           Temp          TotEng        Enthalpy   
      8800  -6660.7579      45293.727      1.8512008      893.92449      1083.4781     -6418.8907     -6393.6193    
      8900  -6651.8776      45380.599      1.847657       1977.9657      1117.3305     -6402.4534     -6346.4288    
      9000  -6655.8512      45751.726      1.8326693     -659.68731      1110.9108     -6407.86       -6426.698     
      9100  -6664.3712      45441.53       1.8451796     -754.47009      1059.8843     -6427.7708     -6449.1694    
      9200  -6660.4108      45347.269      1.849015      -94.296175      1108.9881     -6412.8488     -6415.5178    
      9300  -6658.6245      45421.749      1.8459832      768.57464      1141.9192     -6403.7113     -6381.9222    
      9400  -6654.9464      45755.626      1.8325131     -518.43484      1101.757      -6408.9987     -6423.8043    
      9500  -6662.143       45266.236      1.8523251      831.81825      1121.4079     -6411.8085     -6388.3072    
      9600  -6653.9857      45761.24       1.8322883     -590.83968      1114.9782     -6405.0866     -6421.9621    
      9700  -6655.9077      45463.045      1.8443064      186.98194      1127.1573     -6404.2898     -6398.9841    
      9800  -6660.025       45307.994      1.8506179      174.01559      1085.5345     -6417.6987     -6412.7777    
      9900  -6662.2377      45178.979      1.8559026      1310.4466      1101.6083     -6416.3232     -6379.3705    
     10000  -6655.414       45676.992      1.8356678     -534.82637      1099.0648     -6410.0672     -6425.3148    
     10100  -6657.7622      45114.757      1.8585445      2160.0566      1094.0175     -6413.5422     -6352.7185    
     10200  -6663.8571      45442.093      1.8451567     -278.85961      1048.388      -6429.8231     -6437.7323    
     10300  -6649.013       45593.476      1.8390303      412.1721       1081.5737     -6407.5708     -6395.8415    
     10400  -6645.7263      45863.861      1.8281885      243.18446      1099.8107     -6400.2131     -6393.2517    
     10500  -6658.3285      45448.249      1.8449068      347.23321      1061.4238     -6421.3845     -6411.5347    
     10600  -6651.9632      45710.516      1.8343215     -261.00404      1101.4798     -6406.0774     -6413.5239    
     10700  -6655.647       45478.835      1.843666       1141.0984      1084.3488     -6413.5853     -6381.1945    
     10800  -6666.7536      45464.903      1.844231      -980.94014      1065.1687     -6428.9736     -6456.8097    
     10900  -6656.3369      45622.648      1.8378544     -40.636922      1108.7538     -6408.8273     -6409.9844    
     11000  -6658.5014      45831.396      1.8294835     -942.77035      1132.4302     -6405.7064     -6432.675     
     11100  -6663.7119      45518.522      1.8420586     -255.53366      1127.1863     -6412.0876     -6419.3474    
     11200  -6661.151       45427.359      1.8457552      140.88295      1074.9912     -6421.1783     -6417.1837    
     11300  -6652.9972      45637.287      1.8372648     -122.77937      1096.4103     -6408.243      -6411.7403    
     11400  -6653.2038      45997.466      1.8228783     -1383.7524      1117.1379     -6403.8225     -6443.5492    
     11500  -6663.6605      45366.582      1.8482279      716.66134      1104.6317     -6417.071      -6396.7784    
